ja,ru
ボトルを空にするために全部注ぎましたよ,Я вылил все бутылки в небо
そのベッド高すぎて落ちそう,"Скорее всего, падение в постели слишком высоко"
キャンセルが出た際はワクチンが無駄になってしまう。,Когда отменили из вакцины впустую.
飛行機は速いし便利だけど、準備や手続きが面倒くさい。,"Но быстро самолета, чтобы удобно, это хлопотно подготовка и процедуры."
被災しても家にいるべきか避難所に行くべきか分からない。,"Я не знаю, стоит ли идти о том, следует ли убежище быть дома, даже если бедствие."
隙間時間で暇なとき,Свободное время в промежуток времени
毛羽立つ,взбитые
君が疑うのもわかる,Вы можете увидеть также в сомнении
森喜朗オリ・パラ組織委員会会長の発言に波紋が広がっている,Рябь распространились на замечания Иосиро Мори Олли пара Председатель организационного комитета
聞き続けていると特有の音が聞き取れるようになってきた,И мы продолжаем слышать специфический звук пришел услышать
スライスせずにそのままで欲しいんです！,"Я хочу, чтобы, как это без кусочка!"
水の呼吸　壱の型　水面斬り,Меч типа поверхность воды дыхательной Ichi воды
蔵置期間中にコンテナを引き取る,Возьмите контейнер в период хранения контейнеров
広く浅く,Широкий неглубоко
入部してから引退までに100m走のタイムが4秒縮みました,Время выполнения 100м до выхода на пенсию в от не вступить в клуб был заключен 4 секунды
日本人はたくさんの日を祝う。それは騒ぎたいだけ。,"Японцы отмечают много дня. Он просто хочет, чтобы суетиться."
最初の２年間,Первые два года
ハワイがもっと近かったら行きたいと思います。,"Гавайи Я думаю, что я хочу пойти Тару более близко."
ゴキブリを1匹見つけたら、近くに100匹はいるはず,"Если вы обнаружили одно животное таракана, он должен иметь 100 животных рядом"
誰に対して使えるの,Кто против использования
私のやりたいようにできない。,"Это не может быть так, как вы хотите, чтобы я сделал."
鳥がプロペラに巻き込まれる,"Птицы, попавшие в пропеллер"
同年,тот же год
アカウントを交換する,Для замены учетной записи
一旦トイレに立ったので中断した所から始めます,"После того, как вы начнете, где вы остановились, потому что стоя на унитазе"
最近は、客先と社内の打ち合わせはweb会議が主流です,В последнее время клиентов и в доме встреча веб-конференция является основной
花札,Цветочные игральные карты
フローリングのささくれ,Hangnail полы
2人の声が似てるから、独り言のように聞こえる,"Так как эти два голоса похожи, звучит как монолог"
体幹の筋肉を鍛えると良いよ,Это может укрепить мышцы туловища
嫌なことは寝ればすぐ忘れる,"Скоро забыть, если Нере неприятная вещь"
面倒なことに巻き込まれずに済んでよかったね！,"Я хотел бы я была закончена, не вовлекаясь в этом хлопотно!"
漢字の成り立ちを知ると、漢字の意味を覚えやすい,"Зная происхождение китайских иероглифов, легко запомнить смысл китайских иероглифов"
コロナで駐在先の豪州から出国出来なかったパパが帰国した,Папа не может быть отход от Австралии репрезентативной короны назначения вернулся домой
たまごと納豆を混ぜてご飯にかけます,"Помещенный вас на риса, смешанного с яйцом и натто"
やってみないと分かりません(ビジネス),Я не знаю и не попробовать (Бизнес)
安価で良い物が好き,"Как и те, может быть низкая стоимость"
リラックスして話せて英語力も上がったように話せる,"Говори, как пошел также на английском языке и говорить, чтобы расслабиться"
20年前だったら、彼が辞任することはなかったと思う,"Вы были 20 лет назад, я думаю, что он был не в состоянии уйти в отставку"
未来からのお返し,Возвращение из будущего
プラスチック製のストローを紙製に移行した,Мигрирует пластмассовую соломинку из бумаги
”生まれ持った気質”,«Рожденный с характером»
英語はまだ下手ですが手助けしてください,"Английский по-прежнему бедны, но, пожалуйста, помогите"
やる仕事は毎日違う,"Работа отличается каждый день, чтобы сделать"
貴方が大好きなエビをどう調理して食べるのが一番好きですか,"Что вы, как лучше питаться и готовить вы любите креветки"
3/10のレッスンだけ、時間を午後に変更して頂けますか,"Только 3/10 урока, или вы можете изменить время во второй половине дня"
食事中以外はマスクが必要,За исключением еды маски необходимо
そういう言い方は悪いね。取り消します,Такие слова звучат плохо. Отменяет
社会人にオススメのノートのご紹介です,Это введение рекомендуемого ноутбука для общества
私は映画を監督で選んで見ています,Я видел выбран с режиссером фильма
明朝道路が凍結の恐れがあるので職場で泊まる,"Пребывание на работе, потому что завтра утром дорога есть риск замерзания"
寝過ぎて眠い,Сонный слишком много сна
windows7だったが10に変わった,Был windows7 было изменено на 10
男女逆,"Мужчины и женщины, реверс"
お客様にシステムの安定運用を届けたい,Я хочу послать операцию стабильной системы для клиентов
何歳から何歳まで,До какого возраста с какого возраста
リンクが切れている,Он имеет просроченную ссылку
歴史の流れに沿っていて分かりやすかった,"Это было легко понять, а не по ходу истории"
あなたは雪の日に車のタイヤにチェーンを巻きますか？,Есть ли ветер цепи на автомобильные шины в день снега?
私は寿司を15個とかんぴょう巻き2本食べた。,Я съел два 15 и тыквы Стружки прокатке суши.
お口の中でぷちぷちってはじける感じがたまらない！,Должен любить чувство выскакивают пузырь обернуть меня в рот!
理解されにくい、してもらいにくい,"Трудно понять, трудно попросить"
何日前の晩御飯まで思い出すことができますか？,Можете ли вы вспомнить много дней до обеда?
海外での就職を希望している友達はいますか,"У вас есть друзья, которые хотят работать в зарубежных странах"
私は天気がどう変わって、予報されるのかずっと知りたかった,"Я изменил, как погода, я хотел бы знать, сколько то, что прогноз"
途中の道のり,Середина дороги
憎きコロナウイルス,Ненавидел коронавируса
業績は低迷しているのに株価が高騰している理由が分からない,"Я не знаю, почему результаты цен на акции, даже если он уже был вялым взлетает"
それができたら簡単よ,Easy После того как вы его
指先がこわばる。母もそうだったから遺伝かも。,"Fingertips застывают. Это генетическое, потому что моя мать была так."
犬のワクチン,вакцина собак
それ食べ物？お菓子？,Это еда? Конфеты?
他の仕事との兼ね合いで10時から始めます,Начните с 10 часов в связи с другой работой
これで必要なものは全てだよね。,"Это все вещи, необходимые для этого."
性役割,Гендерная роль
私は彼女に新しい単語を教えてもらいました。,Я научил меня новое слово к ней.
先月売り上げが良くなかった分、今月は良い,"продажи Minute не был хорош в прошлом месяце, в этом месяце хорошо"
「この文章はめちゃくちゃ噛みやすいから言うのが難しいよ」,"«Трудно сказать, потому что это предложение будет безумно укусить легко.»"
更迭,перетасовка
志望していた大学の学部の募集がなくなった,"Там нет набора факультета университета, который был стремящегося"
日曜に、その仕事はやればいいかな,"В воскресенье, как вы делаете это работа"
職場と家の往復,Круглая поездка на работу и дома
日本の未来についてどう思いますか？,Что вы думаете о будущем Японии?
「その年齢でその喋り方はキツイと思う」,«Говорящий путь в таком возрасте думать трудно.»
ためをつくる,Сделать заказ
癖を治す,Лечение привычки
弁えのない,Нет DISCERN
海外の俳優,Заморский актер
南海トラフ地震,Нанькайский Тро землетрясения
報復する,"Для того, чтобы взять реванш"
王蟲,Какаду
「地域で創る学校教育」,«Школьное образование для создания в регионе.»
いざという時に慌てないように,"Так, чтобы не паниковать в случае возникновения чрезвычайной ситуации"
色気がないと言われてる気がする,"Я чувствую, что он говорит, что нет сексапильность"
一日中勉強をしなきゃならないなんて、いやになる、,"Nante не нужно изучать весь день, становится неприятным,"
される側の人間でよかった,Это была хорошая сторона человеческих существ
もし彼にNoと言われてたら私は自信を無くしていただろう。,"После того, как он сказал Нет, если бы я потерял уверенность в себе."
男役,наглец
その時間にはまだ帰宅していないです、,"Мы пока не идем домой в то время,"
身長130cmを超えると大人料金を払わねばならないらしい,"Видимо, он должен заплатить взрослый тариф превышает высоту 130 см"
私の会社は様々な業界でビジネスをしています。,Моя компания имеет свой бизнес в различных отраслях промышленности.
どのくらい前を表すの？,Сколько представляют раньше?
あなたの態度を改めてください,"Пожалуйста, изменить свое отношение"
